"","mc_critic_score","mc_critic_num","mc_audience_score","mc_audience_num","imdb_score","imdb_reviews"
"2732",30,24,8.8,79,6,11609
"2733",14,16,2.6,70,2.1,24636
"2734",46,38,8.1,20,5.3,21329
"2735",96,41,9,1698,8.6,612767
"2736",32,31,5.8,20,6.5,25816
"2737",60,30,8.3,181,7.2,97721
"2738",34,24,8.1,14,2.8,3706
"2739",37,34,5.3,48,5.9,80789
"2740",43,37,5.6,27,6.3,29101
"2741",NA,NA,NA,NA,5.6,48042
"2742",57,36,4.4,369,7.1,312030
"2743",51,24,NA,NA,6.7,825
"2744",38,27,5.5,11,6,7166
"2745",77,38,8.7,553,7.1,241884
"2746",45,35,7,42,6.2,99591
"2747",20,17,9.1,52,2.9,5003
"2748",11,15,4.1,41,4.4,7573
"2749",35,24,5.7,40,5.8,24909
"2750",28,25,6.3,160,5.5,90889
"2751",49,32,8.2,24,6.9,16283
"2752",59,36,7.4,386,6.7,329147
"2753",66,27,8.6,65,6.6,20661
"2754",58,20,7.3,15,6.4,3786
"2755",35,31,3.2,55,5.4,48102
"2756",23,27,4.6,65,5.4,21041
"2757",23,23,8.3,48,4.7,14312
"2758",31,16,8.7,88,4.8,12146
"2759",66,29,5.8,20,6.3,28763
"2760",42,14,7.5,120,6.6,79412
"2761",65,38,6.8,131,6.2,77593
"2762",30,27,1.9,144,5.4,77135
"2763",66,29,6.7,88,5.1,58488
"2764",58,28,5.9,8,6.5,8244
"2765",66,29,6.5,60,5.5,48622
"2766",17,14,2.7,28,4.5,5284
"2767",48,33,4.6,243,5.9,170648
"2768",51,27,8.2,341,6.8,279291
"2769",64,35,5.4,116,6.8,111610
"2770",73,38,8.6,1285,7.3,669405
"2771",54,39,6,1412,6.5,619247
"2772",62,34,6.7,140,6.2,191178
"2773",49,37,6.8,312,6.2,333609
"2774",60,31,8,348,7.5,427061
"2775",72,33,8.1,414,8.2,817851
"2776",35,31,5.7,167,5.1,94655
"2777",92,34,9.1,2038,8.8,1600279
"2778",73,30,8.4,188,7.2,161340
"2779",80,37,7.1,423,7.6,492885
"2780",24,33,5.4,98,5.8,132479
"2781",68,38,7.5,441,7.9,494476
"2782",45,35,5.9,47,6.4,100416
"2783",74,33,7.9,290,7.7,354889
"2784",72,36,8.7,339,7.7,240151
"2785",65,36,8.6,393,6.8,249492
"2786",60,36,8.6,319,7.2,242832
"2787",45,30,5.5,90,5.5,127633
"2788",52,28,8.7,480,6.7,194716
"2789",29,26,6.3,32,5.2,24644
"2790",65,37,7,89,7.2,126703
"2791",72,31,8.1,31,6.9,31333
"2792",52,29,8.1,106,7.1,62393
"2793",30,33,6.6,73,7.1,120146
"2794",48,35,5.4,14,6.1,17715
"2795",78,37,8.4,500,7.2,265200
"2796",69,36,9,152,6.4,65521
"2797",42,33,6.7,54,6,116454
"2798",61,33,8.8,207,7.8,125627
"2799",63,34,7.9,66,6.7,77381
"2800",47,27,5.9,28,5.3,18414
"2801",74,35,8.7,505,7.7,498565
"2802",49,26,6.3,27,5.8,17753
"2803",36,24,8.3,94,5.4,34136
"2804",76,34,7.9,303,7.6,258160
"2805",39,30,6.1,82,6.2,123522
"2806",48,33,6.7,16,6.4,37642
"2807",75,38,7.5,98,7,167524
"2808",35,26,8.1,230,7.4,194784
"2809",48,28,7.2,35,6.2,46138
"2810",51,35,6,36,6.1,64149
"2811",90,34,7.3,154,7.2,77822
"2812",61,33,4.5,37,5.6,29413
"2813",12,24,2.4,130,3.3,21760
"2814",28,33,6.8,107,7.7,140204
"2815",33,24,6.7,383,6.7,241349
"2816",33,34,7.5,69,5.5,70629
"2817",25,32,6.6,52,5.8,38256
"2818",69,30,8.4,57,5.8,32843
"2819",32,34,4,46,5.5,59545
"2820",53,33,7.6,105,5.6,69235
"2821",27,31,6.4,82,3.5,37857
"2822",40,24,6.4,19,5.2,13094
"2823",52,32,8.5,98,6.4,73664
"2824",91,30,8.3,463,7.8,357548
"2825",65,21,6.4,85,6,29741
"2826",58,35,6.7,44,6.7,58053
"2827",86,31,7.5,74,7.4,36535
"2828",45,33,8,433,6.9,242189
"2829",50,35,7.3,50,6.2,51742
"2830",69,32,3.9,100,7,80777
"2831",19,17,2.7,169,4,36136
"2832",30,31,7.8,130,5.3,51358
"2833",25,33,5.9,19,6.1,36033
"2834",48,33,9.3,33,5.6,14186
"2835",37,33,8.3,86,5.6,44052
